County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Cerro Gordo,IA,19033,63149.0,9.14,0.36,1.83,5.37,11.0,34.05,16.9,67.7,10602.29,0.2077,1.0,Uninsured
Cherokee,IA,19035,63638.0,12.98,0.7,1.4,4.55,11.95,36.2,17.1,63.7,11511.67,0.2606,2.0,Hypertension
Chickasaw,IA,19037,72734.0,6.19,2.48,0.78,3.04,11.05,34.9,16.65,67.2,11514.84,0.2218,2.0,Uninsured
Clarke,IA,19039,63120.0,16.55,1.64,0.04,16.51,12.9,35.5,18.1,56.6,13685.49,0.2976,3.0,Poverty
Clay,IA,19041,61756.0,11.23,0.35,0.57,4.17,10.9,33.75,16.6,63.4,10582.36,0.2135,2.0,Poverty
Clayton,IA,19043,60441.0,12.81,1.55,0.39,2.2,12.0,36.95,17.4,61.5,11617.63,0.2745,3.0,Hypertension
Clinton,IA,19045,61080.0,12.15,0.39,3.02,3.42,11.35,35.4,17.4,62.35,11029.86,0.2377,2.0,Hypertension
Crawford,IA,19047,61188.0,16.77,1.16,2.41,29.61,13.25,35.45,17.05,58.8,11641.08,0.2995,3.0,Poverty
Dallas,IA,19049,99533.0,5.64,1.04,2.3,6.39,8.65,28.95,14.5,65.9,10769.43,0.1214,1.0,Uninsured
Davis,IA,19051,77176.0,9.27,13.16,0.0,1.7,10.85,34.4,18.05,64.25,12597.78,0.3349,3.0,Uninsured
Decatur,IA,19053,56068.0,13.16,2.65,1.26,3.33,11.5,33.45,18.0,63.6,10977.12,0.2533,2.0,Uninsured
Delaware,IA,19055,75896.0,6.57,0.76,0.01,1.61,11.0,34.15,17.15,65.55,10593.53,0.2003,1.0,Uninsured
Des Moines,IA,19057,58084.0,14.31,0.23,5.26,3.77,11.05,32.65,17.35,63.6,10941.83,0.2213,2.0,Poverty
Dickinson,IA,19059,72446.0,6.14,0.56,0.12,2.57,10.3,33.9,15.350000000000001,63.1,10019.57,0.1827,1.0,Uninsured
Dubuque,IA,19061,73495.0,9.59,0.35,3.0,2.76,9.6,29.3,16.25,64.05,9629.7,0.1517,1.0,Uninsured
Emmet,IA,19063,64461.0,11.72,0.53,3.64,9.86,11.35,35.25,17.200000000000003,64.85,11114.93,0.236,2.0,Hypertension
Fayette,IA,19065,56043.0,11.44,0.9,0.84,2.93,11.6,35.45,17.25,64.7,12972.77,0.244,2.0,Hypertension
Floyd,IA,19067,62356.0,10.72,1.01,0.94,4.12,11.35,34.45,17.25,61.55,12397.98,0.2303,2.0,Uninsured
Franklin,IA,19069,62214.0,13.51,2.22,0.53,13.61,12.5,35.45,17.35,63.25,11467.92,0.282,3.0,Uninsured
Fremont,IA,19071,69375.0,7.37,0.65,0.72,3.1,11.0,34.6,16.65,64.5,14072.34,0.2062,1.0,Uninsured
